gene,importance
ENSG00000083782.8,0.025842005
ENSG00000105048.17,0.025816625
ENSG00000104205.16,0.025691843
ENSG00000077279.19,0.025630249
ENSG00000123095.6,0.025628071
ENSG00000135842.17,0.02554387
ENSG00000153714.6,0.025537498
ENSG00000198910.14,0.025536746
ENSG00000137486.17,0.02553646
ENSG00000064393.16,0.025525581
ENSG00000101276.18,0.02551936
ENSG00000198915.12,0.025508234
ENSG00000143578.16,0.025488747
ENSG00000185507.21,0.025488568
ENSG00000155792.10,0.02548466
ENSG00000005249.13,0.025463847
ENSG00000164116.17,0.025442805
ENSG00000186493.13,0.025411304
ENSG00000111716.14,0.025339542
ENSG00000267640.6,0.025271213
ENSG00000153292.16,0.025258658
ENSG00000073282.14,0.025244692
ENSG00000171368.12,0.02523455
ENSG00000114770.17,0.025230728
ENSG00000111674.9,0.025176633
ENSG00000007038.11,0.025154196
ENSG00000167700.9,0.025089467
ENSG00000134602.16,0.025064705
ENSG00000106605.11,0.025048612
ENSG00000008323.15,0.02504309
ENSG00000141756.19,0.025027372
ENSG00000171130.18,0.025015011
ENSG00000226745.2,0.024984218
ENSG00000064195.7,0.024971075
ENSG00000183508.5,0.024911894
ENSG00000123094.15,0.02484996
ENSG00000104549.12,0.024806818
ENSG00000113430.10,0.024656227
ENSG00000188906.16,0.024618294
ENSG00000223808.1,0.024600854
ENSG00000267519.6,0.024589797
ENSG00000039537.14,0.024578935
ENSG00000070731.11,0.024557915
ENSG00000146476.11,0.024535725
ENSG00000160284.15,0.024508918
ENSG00000162444.12,0.0244926
ENSG00000243264.2,0.024491318
ENSG00000102890.16,0.024486328
ENSG00000143365.19,0.024383565
ENSG00000142102.16,0.024370214
ENSG00000170345.10,0.024360387
ENSG00000176485.12,0.02434336
ENSG00000196482.18,0.02432889
ENSG00000067840.12,0.024299987
ENSG00000155093.19,0.024261579
ENSG00000130522.6,0.024250379
ENSG00000274750.2,0.024238087
ENSG00000178163.8,0.02422691
ENSG00000101333.17,0.024197834
ENSG00000130600.19,0.024159564
ENSG00000168528.12,0.024140714
ENSG00000214456.8,0.024130305
ENSG00000130702.15,0.024107043
ENSG00000198832.10,0.024100142
ENSG00000117984.15,0.024082905
ENSG00000170373.8,0.024037441
ENSG00000196781.16,0.023992153
ENSG00000170419.11,0.023927802
ENSG00000131771.14,0.023906862
ENSG00000091129.21,0.023892617
ENSG00000143507.18,0.023854936
ENSG00000099256.19,0.023832506
ENSG00000176244.7,0.023819897
ENSG00000237686.7,0.023771888
ENSG00000149968.12,0.023764113
ENSG00000008196.13,0.023739036
ENSG00000082781.12,0.02373806
ENSG00000225698.3,0.023735594
ENSG00000188921.14,0.023694927
ENSG00000162482.5,0.023681564
ENSG00000099204.20,0.023643449
ENSG00000170382.12,0.023639897
ENSG00000183734.4,0.023624133
ENSG00000173281.5,0.023606604
ENSG00000162896.6,0.023561584
ENSG00000147889.18,0.023540772
ENSG00000185630.19,0.023540307
ENSG00000165912.16,0.023509827
ENSG00000111058.8,0.023465576
ENSG00000104723.21,0.023450581
ENSG00000137975.8,0.02344968
ENSG00000099282.10,0.023388745
ENSG00000180190.12,0.023377895
ENSG00000256229.8,0.023344351
ENSG00000277363.5,0.023339849
ENSG00000174938.14,0.023317568
ENSG00000162817.7,0.02330934
ENSG00000166206.15,0.0232964
ENSG00000198695.2,0.023285732
ENSG00000176884.16,0.023264075
ENSG00000006042.12,0.023263834
ENSG00000165457.14,0.02326082
ENSG00000171766.17,0.023197027
ENSG00000079335.20,0.023195274
ENSG00000259479.6,0.023147114
ENSG00000165300.7,0.02314403
ENSG00000166928.11,0.023115862
ENSG00000165138.18,0.023080075
ENSG00000123104.12,0.02307052
ENSG00000145681.11,0.023028625
ENSG00000140323.6,0.023023197
ENSG00000103942.13,0.023019064
ENSG00000161243.9,0.023018142
ENSG00000149273.15,0.023017436
ENSG00000117154.12,0.023010027
ENSG00000006015.18,0.02289806
ENSG00000244468.1,0.02285763
ENSG00000245750.10,0.02285467
ENSG00000170044.8,0.022853585
ENSG00000152669.9,0.022850303
ENSG00000176788.9,0.022843327
ENSG00000185477.5,0.022839528
ENSG00000137747.16,0.022785844
ENSG00000276547.1,0.02278152
ENSG00000224559.2,0.022780033
ENSG00000108947.5,0.022765106
ENSG00000172828.13,0.02270653
ENSG00000198046.12,0.022687763
ENSG00000188559.15,0.02268045
ENSG00000130653.16,0.022673547
ENSG00000138080.14,0.022665704
ENSG00000086548.9,0.022653766
ENSG00000126262.5,0.022636967
ENSG00000170381.14,0.022623653
ENSG00000135480.16,0.0226026
ENSG00000072310.17,0.02258829
ENSG00000129951.19,0.022572955
ENSG00000078018.20,0.022526408
ENSG00000105289.15,0.022518734
ENSG00000140961.14,0.022505548
ENSG00000165655.17,0.022485074
ENSG00000151725.12,0.022480695
ENSG00000167880.8,0.022474332
ENSG00000170477.13,0.022472404
ENSG00000122877.16,0.02245756
ENSG00000173334.4,0.02244851
ENSG00000095917.14,0.02242378
ENSG00000177359.20,0.022423249
ENSG00000019582.15,0.02241294
ENSG00000106003.13,0.02241027
ENSG00000139629.16,0.02240656
ENSG00000148488.17,0.022405973
ENSG00000082497.12,0.022403605
ENSG00000138650.9,0.022393456
ENSG00000171246.6,0.022377847
ENSG00000166961.15,0.022340612
ENSG00000127951.8,0.02232675
ENSG00000155961.5,0.022313226
ENSG00000246705.4,0.022307655
ENSG00000129538.14,0.02225222
ENSG00000111961.18,0.02225084
ENSG00000187474.5,0.022187259
ENSG00000100867.15,0.022165911
ENSG00000058404.20,0.022151763
ENSG00000033327.13,0.022125483
ENSG00000169908.12,0.022097318
ENSG00000125534.10,0.022094268
ENSG00000204442.4,0.022092098
ENSG00000116675.16,0.02208907
ENSG00000109099.16,0.022024412
ENSG00000110693.18,0.02200202
ENSG00000100842.13,0.02199018
ENSG00000132321.17,0.021950962
ENSG00000160161.9,0.021946153
ENSG00000282651.2,0.021943374
ENSG00000180573.9,0.021924298
ENSG00000168010.11,0.02185906
ENSG00000169783.13,0.021810243
ENSG00000180694.14,0.021793699
ENSG00000165061.15,0.021761844
ENSG00000121858.11,0.0217603
ENSG00000135750.15,0.021726673
ENSG00000167759.13,0.021709085
ENSG00000147852.16,0.021633819
ENSG00000169122.11,0.021612909
ENSG00000184937.16,0.02153306
ENSG00000272674.3,0.021526452
ENSG00000169715.15,0.021524593
ENSG00000066382.16,0.021523269
ENSG00000165474.8,0.021508174
ENSG00000167081.18,0.021505106
ENSG00000287914.1,0.02149931
ENSG00000175265.17,0.02149249
ENSG00000110169.11,0.021457475
ENSG00000123124.14,0.021422312
ENSG00000144648.16,0.02141916
ENSG00000168269.10,0.021403488
ENSG00000129654.8,0.021365175
ENSG00000100473.18,0.02135777
ENSG00000163110.15,0.021327132
ENSG00000140263.15,0.021322345
ENSG00000058085.15,0.021314306
ENSG00000021300.14,0.021308187
ENSG00000099953.10,0.021284476
ENSG00000184709.7,0.021223081
ENSG00000275896.6,0.021219855
ENSG00000198077.10,0.021209074
ENSG00000196196.3,0.02120695
ENSG00000138193.16,0.021193564
ENSG00000100504.17,0.021147244
ENSG00000162975.5,0.021143002
ENSG00000127084.19,0.021117786
ENSG00000151693.11,0.02109021
ENSG00000127252.7,0.021084331
ENSG00000276644.5,0.021081198
ENSG00000183486.13,0.021080907
ENSG00000137266.15,0.021078246
ENSG00000165188.13,0.021071617
ENSG00000170271.11,0.021061826
ENSG00000168243.11,0.021054644
ENSG00000214652.6,0.021033293
ENSG00000230882.1,0.021017408
ENSG00000143248.13,0.021013008
ENSG00000235123.5,0.021009006
ENSG00000130203.10,0.021008423
ENSG00000171798.18,0.020999044
ENSG00000077274.9,0.020992665
ENSG00000187837.4,0.02098936
ENSG00000105664.11,0.020984085
ENSG00000204287.14,0.020925362
ENSG00000179750.16,0.02092173
ENSG00000175318.12,0.020899363
ENSG00000158008.10,0.020896398
ENSG00000102393.14,0.020879054
ENSG00000196976.7,0.02087332
ENSG00000047634.15,0.020853534
ENSG00000048540.15,0.020851698
ENSG00000091831.24,0.020845475
ENSG00000151117.9,0.020843668
ENSG00000116574.6,0.020836914
ENSG00000096696.14,0.02083319
ENSG00000139144.11,0.020813964
ENSG00000123836.15,0.020813491
ENSG00000151090.20,0.02080323
ENSG00000198576.4,0.02080248
ENSG00000168453.15,0.020790296
ENSG00000152137.8,0.020787444
ENSG00000103723.16,0.020764358
ENSG00000163347.6,0.02076058
ENSG00000143418.20,0.020756684
ENSG00000166770.11,0.02072268
ENSG00000166825.15,0.020706652
ENSG00000178222.13,0.020662878
ENSG00000124107.5,0.020636076
ENSG00000108830.10,0.020633891
ENSG00000196542.8,0.02060183
ENSG00000092421.17,0.020589141
ENSG00000139044.12,0.020580225
ENSG00000122691.13,0.020575767
ENSG00000185885.16,0.020545617
ENSG00000166446.15,0.020531096
ENSG00000135111.16,0.020508217
ENSG00000176945.17,0.020466821
ENSG00000187122.17,0.020460654
ENSG00000176842.15,0.020458713
ENSG00000169862.19,0.020443061
ENSG00000175164.15,0.02042447
ENSG00000124253.11,0.020416122
ENSG00000262772.2,0.020399466
ENSG00000178814.17,0.020392999
ENSG00000147804.10,0.020387607
ENSG00000081923.15,0.020387515
ENSG00000107731.12,0.020380098
ENSG00000143502.15,0.020339007
ENSG00000112246.10,0.02032349
ENSG00000275395.6,0.020321917
ENSG00000173272.16,0.020297453
ENSG00000196872.12,0.020294761
ENSG00000197977.4,0.020270227
ENSG00000165507.9,0.020258663
ENSG00000143847.15,0.020249868
ENSG00000147724.12,0.020222273
ENSG00000159228.13,0.020198096
ENSG00000136997.21,0.020194964
ENSG00000165973.19,0.020190625
ENSG00000136636.13,0.020181973
ENSG00000204128.6,0.020166267
ENSG00000137203.15,0.02016503
ENSG00000145284.12,0.020159012
ENSG00000100385.14,0.020132378
ENSG00000110660.15,0.020111242
ENSG00000134184.13,0.020091526
ENSG00000205363.6,0.020058252
ENSG00000141738.14,0.02005188
ENSG00000019186.10,0.02005098
ENSG00000139289.13,0.020048158
ENSG00000118513.19,0.020041076
